"","DATE","RENTED_BIKE_COUNT","TEMPERATURE","HUMIDITY","WIND_SPEED","VISIBILITY","DEW_POINT_TEMPERATURE","SOLAR_RADIATION","RAINFALL","SNOWFALL","FUNCTIONING_DAY","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","3","4","5","6","7","8","9","AUTUMN","SPRING","SUMMER","WINTER","HOLIDAY","NO_HOLIDAY"
"1","01/12/2017",254,0.22027972027972,0.377551020408163,0.297297297297297,1,0.224913494809689,0,0,0,"Yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2","01/12/2017",204,0.215034965034965,0.387755102040816,0.108108108108108,1,0.224913494809689,0,0,0,"Yes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"3","01/12/2017",173,0.206293706293706,0.397959183673469,0.135135135135135,1,0.22318339100346,0,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"4","01/12/2017",107,0.202797202797203,0.408163265306122,0.121621621621622,1,0.224913494809689,0,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"5","01/12/2017",78,0.206293706293706,0.36734693877551,0.310810810810811,1,0.207612456747405,0,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"6","01/12/2017",100,0.199300699300699,0.377551020408163,0.202702702702703,1,0.205882352941177,0,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"7","01/12/2017",181,0.195804195804196,0.357142857142857,0.175675675675676,1,0.19204152249135,0,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"8","01/12/2017",460,0.181818181818182,0.387755102040816,0.121621621621622,1,0.195501730103806,0,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"9","01/12/2017",930,0.178321678321678,0.377551020408163,0.148648648648649,1,0.186851211072664,0.00284090909090909,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"10","01/12/2017",490,0.197552447552448,0.275510204081633,0.0675675675675676,0.963507349214394,0.141868512110727,0.0653409090909091,0,0,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"11","01/12/2017",339,0.25,0.244897959183673,0.162162162162162,0.997972630511911,0.162629757785467,0.184659090909091,0,0,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"12","01/12/2017",360,0.302447552447552,0.214285714285714,0.175675675675676,0.967562088190573,0.179930795847751,0.267045454545455,0,0,"Yes",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"13","01/12/2017",449,0.340909090909091,0.23469387755102,0.189189189189189,1,0.231833910034602,0.315340909090909,0,0,"Yes",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"14","01/12/2017",451,0.353146853146853,0.255102040816327,0.216216216216216,1,0.259515570934256,0.329545454545455,0,0,"Yes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","01/12/2017",447,0.363636363636364,0.26530612244898,0.27027027027027,1,0.27681660899654,0.286931818181818,0,0,"Yes",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"16","01/12/2017",463,0.347902097902098,0.36734693877551,0.432432432432432,1,0.332179930795848,0.153409090909091,0,0,"Yes",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"17","01/12/2017",484,0.332167832167832,0.551020408163265,0.567567567567568,0.388241256969083,0.408304498269896,0.0681818181818182,0,0,"Yes",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
